evo-volume,eco,name,pgn,uci,epd,epdhash
,C43,"Bishop's Opening: Urusov Gambit, Keidansky Gambit",1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. Nf3 Nxe4 5. Qxd4,e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 g1f3 f6e4 d1d4,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq -,df5596808771485127ef97a75e9d975b
,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4,rnbqkb1r/pp1ppppp/8/2pnP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq -,6e37203a9f868c23b9d32ba59dfbe55a
,D30,Queen's Gambit Declined: Spielmann Variation,1. d4 d5 2. c4 e6 3. Nf3 Nf6 4. e3 c6 5. Nbd2 g6,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 e2e3 c7c6 b1d2 g7g6,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,f02c1340e1ef2d358f9cdc37832b669f
,C02,"French Defense: Advance Variation, Nimzowitsch System",1. e4 e6 2. d4 d5 3. e5 c5 4. Nf3,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,d2f58367247f2b9164b9d5b5259dd5a6
,C24,Bishop's Opening: Warsaw Gambit,1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. c3,e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 c2c3,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/2P5/PP3PPP/RNBQK1NR b KQkq -,56ea91fc277ac04ad9bc0f2459d64fe7
,D04,"Queen's Pawn Game: Colle System, Grünfeld Formation",1. d4 d5 2. Nf3 Nf6 3. e3 g6 4. Bd3 Bg7,d2d4 d7d5 g1f3 g8f6 e2e3 g7g6 f1d3 f8g7,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,df25ba56384d206925125b86c4a16ef7
,A57,Benko Gambit: Mutkin Countergambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. g4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 g2g4,rnbqkb1r/p2ppppp/5n2/1ppP4/2P3P1/8/PP2PP1P/RNBQKBNR b KQkq -,9632d2a27ced584431ef70e6d256eabd
,B22,"Sicilian Defense: Alapin Variation, Stoltz Attack",1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nb6 6. Bb3,e2e4 c7c5 c2c3 g8f6 e4e5 f6d5 g1f3 b8c6 f1c4 d5b6 c4b3,rnbqkb1r/pp1ppppp/8/2pnP3/8/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -,2d5d6590f975bd030c8a2726e76ab8fd
,C42,Petrov's Defense: Stafford Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 4. Nxc6 dxc6,e2e4 e7e5 g1f3 g8f6 f3e5 b8c6 e5c6 d7c6,r1bqkb1r/pppp1ppp/2N2n2/8/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,5459e9f982e0ec8f5c05e7ce06e99c8a
,B00,"Nimzowitsch Defense: Kennedy Variation, Keres Attack",1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nc3,e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 b1c3,r1bqkbnr/pppp1ppp/8/4n3/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq -,7b23ff6b86707efd7205c9033bf616ab
,A57,Benko Gambit Declined: Hjørring Countergambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. e4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 e2e4,rnbqkb1r/p2ppppp/5n2/1ppP4/2P1P3/8/PP3PPP/RNBQKBNR b KQkq -,352479f6fed7bdcc14e37b4951e82c3e
,A57,Benko Gambit Declined: Sosonko Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. a4,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 a2a4,rnbqkb1r/p2ppppp/5n2/1ppP4/P1P5/8/1P2PPPP/RNBQKBNR b KQkq -,0da73ca1a5a444d6c5f893de2b8b6fe4
,C44,Ponziani Opening: Vukovic Gambit,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d4 Nxe4 5. d5 Bc5,e2e4 e7e5 g1f3 b8c6 c2c3 g8f6 d2d4 f6e4 d4d5 f8c5,r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,aaf1b9c4bbcaf3cfec6f1da4d31f4875
,A57,Benko Gambit Declined: Quiet Line,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nd2,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 b1d2,rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP1NPPPP/R1BQKBNR b KQkq -,fda1d51e2c92652a58977b044a960a9e
,A07,King's Indian Attack: Yugoslav Variation,1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bg4,g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8g4,rnbqkb1r/pp2pppp/2p2n2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,d9a2f8ba1e64e99e92ecac5e8f69acf4
,A12,"Réti Opening: Anglo-Slav Variation, Bled Variation",1. Nf3 d5 2. b3 Nf6 3. Bb2 g6 4. c4 c6,g1f3 d7d5 b2b3 g8f6 c1b2 g7g6 c2c4 c7c6,rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,86cfe06766b3b276a556634564b012c2
,C24,Bishop's Opening: Krejcik Gambit,1. e4 e5 2. Bc4 Nf6 3. f3 Bc5 4. Ne2 Nc6 5. b4,e2e4 e7e5 f1c4 g8f6 f2f3 f8c5 g1e2 b8c6 b2b4,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/5P2/PPPPN1PP/RNBQK2R b KQkq -,59a6bf891323880d1d54fa381319fde3
,A56,Benoni Defense: King's Indian System,1. d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 g6,d2d4 g8f6 c2c4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 g7g6,rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq -,3be9f84ab16d554e1e18274beec7b4b9
,B50,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. dxc5 Nxe4,e2e4 c7c5 g1f3 d7d6 d2d4 g8f6 d4c5 f6e4,rnbqkb1r/pp2pppp/3p1n2/2P5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,d29ef7313f9c9c70311c4d97716f8673
,A03,Bird Opening: Thomas Gambit,1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3,f2f4 d7d5 b2b3 g8f6 c1b2 d5d4 g1f3 c7c5 e2e3,rnbqkb1r/ppp1pppp/5n2/8/3p1P2/1P3N2/PBPPP1PP/RN1QKB1R b KQkq -,a05927d3af0fc18340d873cca12cd52a
,B50,"Sicilian Defense: Modern Variations, Tartakower",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. c3,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 c2c3,rnbqkbnr/pp2pppp/3p4/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,45ab9a9ce2304bbcbbaea32534d16889
,C24,Bishop's Opening: Pachman Gambit,1. e4 e5 2. Bc4 Nf6 3. Ne2 Nxe4 4. Nec3,e2e4 e7e5 f1c4 g8f6 g1e2 f6e4 e2c3,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N5/PPPP1PPP/RNBQK2R b KQkq -,d704f209eae0dc04f6db07217bd2d23c
,C02,"French Defense: Advance Variation, Frenkel Gambit",1. e4 e6 2. d4 d5 3. e5 c5 4. b4,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 b2b4,rnbqkbnr/pp3ppp/4p3/2ppP3/1P1P4/8/P1P2PPP/RNBQKBNR b KQkq -,0b6ef22e21a1835100211aa772b3a9a1
,C23,Bishop's Opening: Lopez Gambit,1. e4 e5 2. Bc4 Bc5 3. Qe2 Nc6 4. c3 Nf6 5. f4,e2e4 e7e5 f1c4 f8c5 d1e2 b8c6 c2c3 g8f6 f2f4,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P5/PP1PQPPP/RNB1K1NR b KQkq -,00e5de38d4c90b91b4eebfdce9d4e0f8
,C44,King's Pawn Game: Tayler Opening,1. e4 e5 2. Nf3 Nc6 3. Be2 Nf6 4. d4,e2e4 e7e5 g1f3 b8c6 f1e2 g8f6 d2d4,r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/5N2/PPP1BPPP/RNBQK2R b KQkq -,bd0ce233a17083d56109a588783665b5
,C34,King's Gambit Accepted: Greco Gambit,1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4 Bg7,e2e4 e7e5 f2f4 e5f4 g1f3 d7d6 f1c4 h7h6 d2d4 g7g5 h2h4 f8g7,rnbqkbnr/ppp2ppp/3p4/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq -,c563171082a19d3a161c61bafc88455f
,B06,Modern Defense: Gurgenidze Defense,1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d5 5. e5 h5,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f2f4 d7d5 e4e5 h7h5,rnbqk1nr/pp1pppbp/2p3p1/8/3PPP2/2N5/PPP3PP/R1BQKBNR b KQkq -,0b2033c2ac79a5981a077740be747539
,E23,"Nimzo-Indian Defense: Spielmann Variation, Stahlberg Variation",1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qb3 c5 5. dxc5 Nc6 6. Nf3 Ne4 7. Bd2 Nxc5,d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 d1b3 c7c5 d4c5 b8c6 g1f3 f6e4 c1d2 e4c5,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/1QN5/PP2PPPP/R1B1KBNR b KQkq -,a1bb7a899f2585d55f8e10ef42898b7d
,C34,"King's Gambit Accepted: Schallopp Defense, Tashkent Attack",1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nh5 5. g4,e2e4 e7e5 f2f4 e5f4 g1f3 g8f6 e4e5 f6h5 g2g4,rnbqkb1r/pppp1ppp/5n2/4P3/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq -,f09803ae93f5e8d67a3c2117434ae196
,A02,Bird Opening: Swiss Gambit,1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4,f2f4 f7f5 e2e4 f5e4 b1c3 g8f6 g2g4,rnbqkb1r/ppppp1pp/5n2/8/4pPP1/2N5/PPPP3P/R1BQKBNR b KQkq -,ed31fbe35002d18e45714792c5a350e6
,D01,Richter-Veresov Attack: Two Knights System,1. d4 Nf6 2. Nc3 d5 3. Bg5 Nbd7 4. Nf3,d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3,r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq -,24c659cd14de879c3e884d81fd9b70a1
,D01,Richter-Veresov Attack: Richter Variation,1. d4 Nf6 2. Nc3 d5 3. Bg5 Bf5 4. f3,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3,rn1qkb1r/ppp1pppp/5n2/3p1bB1/3P4/2N2P2/PPP1P1PP/R2QKBNR b KQkq -,b7bce1f1f786d2141624b46eb0a14530
,A12,"Réti Opening: Anglo-Slav Variation, Bogoljubow Variation",1. Nf3 Nf6 2. c4 c6 3. b3 d5 4. Bb2,g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,9489f33d5d94e5b51561605710b024e0
,A07,King's Indian Attack: Pachman System,1. Nf3 d5 2. g3 g6 3. Bg2 Bg7 4. O-O e5 5. d3 Ne7,g1f3 d7d5 g2g3 g7g6 f1g2 f8g7 e1g1 e7e5 d2d3 g8e7,rnbqk1nr/ppp1ppbp/6p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq -,ef548352c1bc5b7499caa226e7d5827a
,C23,"Bishop's Opening: Lewis Countergambit, Walker Variation",1. e4 e5 2. Bc4 Bc5 3. c3 d5 4. Bxd5 Nf6 5. d4,e2e4 e7e5 f1c4 f8c5 c2c3 d7d5 c4d5 g8f6 d2d4,rnbqk1nr/ppp2ppp/8/2bBp3/4P3/2P5/PP1P1PPP/RNBQK1NR b KQkq -,233fce47851210b18b337b89c9b38b3c
,C43,"Petrov's Defense: Modern Attack, Trifunovic Variation",1. e4 e5 2. Nf3 Nf6 3. d4 Nxe4 4. Bd3 d5 5. Nxe5 Bd6 6. O-O O-O 7. c4 Bxe5,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f1d3 d7d5 f3e5 f8d6 e1g1 e8g8 c2c4 d6e5,rnbqkb1r/pppp1ppp/8/4p3/3Pn3/3B1N2/PPP2PPP/RNBQK2R b KQkq -,81e7d57860457df3545d3d5c04e119f7
,D01,Richter-Veresov Attack: Malich Gambit,1. d4 Nf6 2. Nc3 d5 3. Bg5 c5 4. Bxf6 gxf6 5. e4 dxe4 6. d5,d2d4 g8f6 b1c3 d7d5 c1g5 c7c5 g5f6 g7f6 e2e4 d5e4 d4d5,rnbqkb1r/pp2pppp/5B2/2pp4/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,004012edd68e155853a3db80af489a8d
,D30,Queen's Gambit Declined: Vienna Variation,1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Bg5 Bb4+,d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 c1g5 f8b4,rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,468ceb340063dccbdf8b2b07e0c45f85
,C44,King's Pawn Game: Schulze-Müller Gambit,1. e4 e5 2. Nf3 Nc6 3. Nxe5 Nxe5 4. d4,e2e4 e7e5 g1f3 b8c6 f3e5 c6e5 d2d4,r1bqkbnr/pppp1ppp/8/4n3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq -,be69b7d8d01bf1c10832eef1826068f5
,C23,Bishop's Opening: Lisitsyn Variation,1. e4 e5 2. Bc4 c6 3. d4 d5 4. exd5 cxd5 5. Bb5+ Bd7 6. Bxd7+ Nxd7 7. dxe5 Nxe5 8. Ne2,e2e4 e7e5 f1c4 c7c6 d2d4 d7d5 e4d5 c6d5 c4b5 c8d7 b5d7 b8d7 d4e5 d7e5 g1e2,rnbqkbnr/pp3ppp/2p5/3Pp3/2BP4/8/PPP2PPP/RNBQK1NR b KQkq -,650d33e2d03b3dffb80fed7337c7bbf1
,C44,Dresden Opening: The Goblin,1. e4 e5 2. Nf3 Nc6 3. c4 Nf6 4. Nxe5,e2e4 e7e5 g1f3 b8c6 c2c4 g8f6 f3e5,r1bqkb1r/pppp1ppp/2n2n2/4N3/2P1P3/8/PP1P1PPP/RNBQKB1R b KQkq -,17767f7903588893b22d6a4d089dbcc0
,C23,"Bishop's Opening: McDonnell Gambit, McDonnell Double Gambit",1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. f4,e2e4 e7e5 f1c4 f8c5 b2b4 c5b4 f2f4,rnbqk1nr/pppp1ppp/8/4p3/1bB1PP2/8/P1PP2PP/RNBQK1NR b KQkq -,9afe65598231fc1dbfcb8caf353fb22c
,B06,Modern Defense: Masur Gambit,1. e4 g6 2. d4 Nh6 3. Nc3 f5 4. Bxh6 Bxh6 5. exf5 O-O,e2e4 g7g6 d2d4 g8h6 b1c3 f7f5 c1h6 f8h6 e4f5 e8g8,rnbqkb1r/ppppp2p/6pB/5p2/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,e399afec9899789fa6a392169a681117
,A28,"English Opening: King's English Variation, Four Knights Variation",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. d4 exd4 5. Nxd4 Bb4 6. Bg5 h6 7. Bh4 Bxc3+ 8. bxc3 Ne5,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d4 e5d4 f3d4 f8b4 c1g5 h7h6 g5h4 b4c3 b2c3 c6e5,r1bqkb1r/pppp1ppp/2n2n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,6e23c9b0e178182f66ec80259d90b65e
,C23,"Bishop's Opening: McDonnell Gambit, La Bourdonnais-Denker Gambit",1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. c3,e2e4 e7e5 f1c4 f8c5 b2b4 c5b4 c2c3,rnbqk1nr/pppp1ppp/8/4p3/1bB1P3/2P5/P2P1PPP/RNBQK1NR b KQkq -,5d9d913f8af45d44d0bccb418915176a
,C44,Ponziani Opening: Jaenisch Counterattack,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d3,e2e4 e7e5 g1f3 b8c6 c2c3 g8f6 d2d3,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2PP1N2/PP3PPP/RNBQKB1R b KQkq -,ffb6d10b65a630e3dafbc96a2dad41f2
,A21,"English Opening: King's English Variation, Troger Defense",1. c4 e5 2. Nc3 Nc6 3. g3 d6 4. Bg2 Be6,c2c4 e7e5 b1c3 b8c6 g2g3 d7d6 f1g2 c8e6,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,2ad96bfd3802806a6ec7ae086dc03e0b
,C23,Bishop's Opening: Pratt Variation,1. e4 e5 2. Bc4 Bc5 3. c3 Nf6 4. d4 exd4 5. e5 d5 6. exf6 dxc4 7. Qh5 O-O,e2e4 e7e5 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 e4e5 d7d5 e5f6 d5c4 d1h5 e8g8,rnbqk2r/pppp1ppp/5n2/2b1p3/2BPP3/2P5/PP3PPP/RNBQK1NR b KQkq -,88c06cecd0181857b090f8191fb16e9c
,A56,"Grünfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch",1. d4 Nf6 2. c4 c5 3. e3 g6 4. Nc3 Bg7 5. Nf3 O-O 6. Be2 cxd4 7. exd4 d5 8. O-O Nc6,d2d4 g8f6 c2c4 c7c5 e2e3 g7g6 b1c3 f8g7 g1f3 e8g8 f1e2 c5d4 e3d4 d7d5 e1g1 b8c6,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,29d24b4204b801aab88a22346a8fc3e3
,A02,Bird Opening: Siegener Gambit,1. f4 e5 2. d4 exd4 3. Nf3 c5 4. c3,f2f4 e7e5 d2d4 e5d4 g1f3 c7c5 c2c3,rnbqkbnr/pp1p1ppp/8/2p5/3p1P2/2P2N2/PP2P1PP/RNBQKB1R b KQkq -,6ac393c21faf9d4e97f12a981027a8c3
,A16,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",1. c4 Nf6 2. Nc3 d5 3. cxd5 Nxd5 4. g3 g6 5. Bg2 Nb6,c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5b6,rnbqkb1r/ppp1pppp/8/3n4/8/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,9e679a4f94bdf51162f1e6bbe7c44779
,D02,Queen's Pawn Game: Chandler Gambit,1. d4 d5 2. Nf3 c5 3. g3 cxd4 4. Bg2,d2d4 d7d5 g1f3 c7c5 g2g3 c5d4 f1g2,rnbqkbnr/pp2pppp/8/3p4/3p4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,31656c64ed6890af6aae5f310bedb828
,A57,Benko Gambit Declined: Bishop Attack,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c1g5,rnbqkb1r/p2ppppp/5n2/1ppP2B1/2P5/8/PP2PPPP/RN1QKBNR b KQkq -,977c0c043a48f8224961962854f9d97e
,D01,Richter-Veresov Attack: Veresov Variation,1. d4 Nf6 2. Nc3 d5 3. Bg5 Bf5 4. Bxf6,d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 g5f6,rn1qkb1r/ppp1pppp/5B2/3p1b2/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,da7e1f6c144c58fed2d4234f08cd30e6
,C23,"Bishop's Opening: Lopez Variation, Lopez Gambit",1. e4 e5 2. Bc4 Bc5 3. Qe2 Nf6 4. f4,e2e4 e7e5 f1c4 f8c5 d1e2 g8f6 f2f4,rnbqk2r/pppp1ppp/5n2/2b1p3/2B1PP2/8/PPPPQ1PP/RNB1K1NR b KQkq -,652f1c9547e20768619b48544556c9bd
,B53,"Sicilian Defense: Chekhover Variation, Zaitsev Defense",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Qxd4 Nc6 5. Bb5 Qd7,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 b8c6 f1b5 d8d7,rnbqkbnr/pp2pppp/3p4/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq -,7f15e1102cfa6e6becddc97dffd78c66
,C44,"King's Pawn Game: Tayler Opening, Inverted Hanham",1. e4 e5 2. Nf3 Nc6 3. Be2 Nf6 4. d3 d5 5. Nbd2,e2e4 e7e5 g1f3 b8c6 f1e2 g8f6 d2d3 d7d5 b1d2,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq -,c7ef67088d25995800d0e036ff6f3f69
,A32,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",1. c4 e6 2. d4 c5 3. Nf3 cxd4 4. Nxd4 Nf6,c2c4 e7e6 d2d4 c7c5 g1f3 c5d4 f3d4 g8f6,rnbqkbnr/pp1p1ppp/4p3/8/2PN4/8/PP2PPPP/RNBQKB1R b KQkq -,37581f06be51ee108188a3bcebbd4e05
,C34,"King's Gambit Accepted: Fischer Defense, Spanish Variation",1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 Nf6 5. Bd3,e2e4 e7e5 f2f4 e5f4 g1f3 d7d6 d2d4 g8f6 f1d3,rnbqkbnr/ppp2ppp/3p4/8/3PPp2/5N2/PPP3PP/RNBQKB1R b KQkq -,3f9c6a52906e84eaeb6f2213f51b67ce
,D02,London System: Poisoned Pawn Variation,1. d4 Nf6 2. Nf3 d5 3. Bf4 c5 4. e3 Qb6 5. Nc3,d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 d8b6 b1c3,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,5edc72c40f7890a33786a972eed7c744
,C44,Latvian Gambit: Clam Gambit,1. e4 e5 2. Nf3 Nc6 3. d3 f5 4. exf5,e2e4 e7e5 g1f3 b8c6 d2d3 f7f5 e4f5,r1bqkbnr/pppp2pp/2n5/4pP2/8/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,e9353e54cf754ef8aaa388fd8eef48c7
,B01,Scandinavian Defense: Kiel Variation,1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb4,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 c2c4 d5b4,rnbqkb1r/ppp1pppp/8/3n4/2PP4/8/PP3PPP/RNBQKBNR b KQkq -,ccb1591ef68dc8e34b23468c2cea72b0
,C01,French Defense: Exchange Variation,1. e4 e6 2. d4 d5 3. exd5 exd5 4. Nc3,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 b1c3,rnbqkbnr/ppp2ppp/8/3p4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,66664c08feb0eea4cedaa9da0ba7e52d
,D05,Rubinstein Opening: Bogoljubow Defense,1. d4 Nf6 2. Nf3 e6 3. e3 c5 4. Bd3 d5 5. b3 Nc6 6. O-O Bd6 7. Bb2 O-O,d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8d6 c1b2 e8g8,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -,d413b075d0a8ef7b6afbe1956393f342
,A00,Polish Opening: Schiffler-Sokolsky Variation,1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3,b2b4 e7e6 c1b2 g8f6 b4b5 d7d5 e2e3,rnbqkb1r/ppp2ppp/4pn2/1P1p4/8/4P3/PBPP1PPP/RN1QKBNR b KQkq -,05578336dcaa9c5d54d013c571cd6872
,A00,Polish Opening: Rooks Swap Line,1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1,b2b4 e7e6 c1b2 g8f6 b4b5 a7a6 a2a4 a6b5 a4b5 a8a1 b2a1,rnbqkb1r/1ppp1ppp/p3pn2/1P6/P7/8/1BPPPPPP/RN1QKBNR b KQkq -,b59cdacc9ef91587371a7343d534e3b3
,C36,"King's Gambit Accepted: Abbazia Defense, Main Line",1. e4 e5 2. f4 exf4 3. Nf3 d5 4. exd5 Nf6 5. Bb5+ c6 6. dxc6 bxc6 7. Bc4 Nd5,e2e4 e7e5 f2f4 e5f4 g1f3 d7d5 e4d5 g8f6 f1b5 c7c6 d5c6 b7c6 b5c4 f6d5,rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq -,748cfe14fc80a643dc0078e41c04572d
,B50,"Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Double Gambit",1. e4 c5 2. Nf3 d6 3. c3 Nf6 4. Be2 Nc6 5. d4 cxd4 6. cxd4 Nxe4 7. d5 Qa5+ 8. Nc3 Nxc3 9. bxc3,e2e4 c7c5 g1f3 d7d6 c2c3 g8f6 f1e2 b8c6 d2d4 c5d4 c3d4 f6e4 d4d5 d8a5 b1c3 e4c3 b2c3,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P2N2/PP1PBPPP/RNBQK2R b KQkq -,87d4264be64abfd2ea58f1f2b4589b2c
,B06,Modern Defense: Anti-Modern,1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Bc4 d6 5. Qe2,e2e4 g7g6 d2d4 f8g7 b1c3 c7c6 f1c4 d7d6 d1e2,rnbqk1nr/pp1pppbp/2p3p1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq -,c12849fd209e0b4e05a10173b87012c8
,D00,"Blackmar-Diemer Gambit: Zeller Defense, Soller Attack",1. d4 d5 2. e4 dxe4 3. Nc3 Bf5 4. f3 Nf6 5. Bc4,d2d4 d7d5 e2e4 d5e4 b1c3 c8f5 f2f3 g8f6 f1c4,rn1qkbnr/ppp1pppp/8/5b2/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq -,fcc5a123233bc133125bf44ade179f3d
